Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016/1/1,2016,1,1,‡,2.6,,-6.1,,-1.8,,19.8,,0,,0,,0,,0,,0,,,,<31,
2016/1/2,2016,1,2,‡,2.6,,-6.5,,-2,,20,,0,,0,,0,,0,,0,,,,<31,
2016/1/3,2016,1,3,‡,2.9,,-5.3,,-1.2,,19.2,,0,,0,,0,,0,,0,,,,<31,
2016/1/4,2016,1,4,‡,4.1,,-2.6,,0.8,,17.2,,0,,0.8,,0,,0.8,,2,,,,<31,
2016/1/5,2016,1,5,‡,4,,-2.9,,0.6,,17.4,,0,,7.8,,1,,8.8,,0,,32,,43,
2016/1/6,2016,1,6,‡,6.7,,2.4,,4.6,,13.4,,0,,1.8,,0,,1.8,,0,,29,,37,
2016/1/7,2016,1,7,‡,6.1,,1.1,,3.6,,14.4,,0,,0,,0,,0,,0,,,,<31,
2016/1/8,2016,1,8,‡,7.5,,0,,3.8,,14.2,,0,,0,,0,,0,,0,,,,<31,
2016/1/9,2016,1,9,‡,6.3,,-2.3,,2,,16,,0,,0,,0,,0,,0,,,,<31,
2016/1/10,2016,1,10,‡,7,,-3,,2,,16,,0,,0,T,0,,0,T,0,,32,,35,
2016/1/11,2016,1,11,‡,6,,-4.1,,1,,17,,0,,12.8,,0,,12.8,,0,,,,<31,
2016/1/12,2016,1,12,‡,7.7,,4.6,,6.2,,11.8,,0,,16.8,,0,,16.8,,0,,8,,33,
2016/1/13,2016,1,13,‡,8.8,,1.9,,5.4,,12.6,,0,,9.6,,0,,9.6,,0,,20,,33,
2016/1/14,2016,1,14,‡,8.4,,2.2,,5.3,,12.7,,0,,0.8,,0,,0.8,,0,,32,,33,
2016/1/15,2016,1,15,‡,5.6,,-2,,1.8,,16.2,,0,,0.2,,0,,0.2,,0,,,,<31,
2016/1/16,2016,1,16,‡,8.9,,4.8,,6.9,,11.1,,0,,12.8,,0,,12.8,,0,,9,,37,
2016/1/17,2016,1,17,‡,10,,6.8,,8.4,,9.6,,0,,7,,0,,7,,0,,12,,48,
2016/1/18,2016,1,18,‡,9.8,,6.1,,8,,10,,0,,4.6,,0,,4.6,,0,,6,,41,
2016/1/19,2016,1,19,‡,9.6,,3.4,,6.5,,11.5,,0,,0.8,,0,,0.8,,0,,13,,39,
2016/1/20,2016,1,20,‡,8.5,,0.3,,4.4,,13.6,,0,,2,,0,,2,,0,,10,,39,
2016/1/21,2016,1,21,‡,10.8,,5.6,,8.2,,9.8,,0,,25.4,,0,,25.4,,0,,7,,35,
2016/1/22,2016,1,22,‡,11.3,,7,,9.2,,8.8,,0,,14,,0,,14,,0,,16,,43,
2016/1/23,2016,1,23,‡,8.2,,4.1,,6.2,,11.8,,0,,0,,0,,0,,0,,29,,32,
2016/1/24,2016,1,24,‡,9.4,,2.5,,6,,12,,0,,1,,0,,1,,0,,,,<31,
2016/1/25,2016,1,25,‡,9.6,,2.4,,6,,12,,0,,0,,0,,0,,0,,,,<31,
2016/1/26,2016,1,26,‡,10.1,,7.2,,8.7,,9.3,,0,,,M,0,,,M,0,,8,,37,
2016/1/27,2016,1,27,‡,12.2,,9.2,,10.7,,7.3,,0,,17.2,,0,,17.2,,0,,11,,44,
2016/1/28,2016,1,28,‡,12,,4.2,,8.1,,9.9,,0,,12.8,,0,,12.8,,0,,15,,54,
2016/1/29,2016,1,29,‡,7.9,,4.2,,6.1,,11.9,,0,,8.2,,0,,8.2,,0,,20,,37,
2016/1/30,2016,1,30,‡,7,,2.1,,4.6,,13.4,,0,,1.8,,0,,1.8,,0,,16,,41,
2016/1/31,2016,1,31,‡,6.5,,2.8,,4.7,,13.3,,0,,9,,0,,9,,0,,15,,37,
2016/2/1,2016,2,1,‡,6.6,,2.1,,4.4,,13.6,,0,,1.2,,0,,1.2,,0,,,,<31,
2016/2/2,2016,2,2,‡,7.1,,2.9,,5,,13,,0,,1.6,,0,,1.6,,0,,,,<31,
2016/2/3,2016,2,3,‡,7.8,,4.1,,6,,12,,0,,12.2,,0,,12.2,,0,,9,,43,
2016/2/4,2016,2,4,‡,8.8,,5.3,,7.1,,10.9,,0,,4.4,,0,,4.4,,0,,19,,39,
2016/2/5,2016,2,5,‡,10.6,,6.2,,8.4,,9.6,,0,,8,,0,,8,,0,,28,,65,
2016/2/6,2016,2,6,‡,9.4,,2.4,,5.9,,12.1,,0,,0,,0,,0,,0,,26,,33,
2016/2/7,2016,2,7,‡,7.7,,1.6,,4.7,,13.3,,0,,0.4,,0,,0.4,,0,,,,<31,
